あまり～ない|not very,not much
あとで|after,later
ば|if…then…
場合は|in the event of
だけで|just by
だす|to suddenly begin,to suddenly appear
でも|or something
でございます|to be (honorific)
がる|to show signs of,to feel,to think
がする|smell,hear,taste
ごろ|around,about
ございます|to be,to exist (honorific)
はじめる|to start,to begin to
はずだ|it must be,it should be
はずがない|cannot be
ひつよう|need,necessary
ひつようがある|it is necessary to
ほしい|to want something,to be in need of
いらっしゃる|to be,to come,to go
いたす|to do (honorific)
じゃないか|isn’t it
かどうか|whether or not
かい|yes or no question
かもしれない|might,maybe
かな|I wonder
かた|how to,way of doing something
かしら|I wonder
こと|verb nominalizer
ことができる|can,be able to
までに|by,by the time
みたい|like,similar to,resembling
みたいに|like,similar to
みたいな|like,similar to
など|such as,things like
ながら|while,during,as
ないで|without doing,don’t
なければいけない|must do,have to do
なければならない|must do,have to do
なくてはいけない|must do,have to do
なくてはならない|must do,have to do
なくてもいい|don't have to
なら|if,in case,as for
なさい|command,order somebody to do something
なさる|to do (honorific)
に気がつく|to notice,to realize
にくい|difficult to,hard to
にみえる|to look, to seem,to appear
のなかで|in,among
のに|in order to
のに|although,in spite of,even though
のように|like,similar to
のような|like,similar to
お～ください|please do (honorific)
お～になる|to do (honorific)
おきに|repeated at intervals, every
おわる|to finish,to end
られる|to be able to do something
られる|passive voice
らしい|seems like
さ|adjective nominalizer
させる|to make or to let somebody do something
させられる|to be made to do something
さすが|as one would expect
し～し|and
しか～ない|there's only
そんなに|so,so much,like that
それでも|but still,and yet
そうに|seem,look like
そうな|seem,look like
そうだ|I heard that,it is said that
そうだ|look like,appear,seem
たばかり|just did,something just happened
たがる|to want to
たら|if,after,when
たらどう|why don't you
たり～たり|do such things like
たところ|just finished doing,was just doing
てあげる|to do something for someone
てある|something is done,has been done
てほしい|I need you to
ていく|to go on,to start
ているところ|in the process of doing
ていた|was doing something
ていただけませんか|could you please
てくれてありがとう|thank you for doing
てくれる|to do something for someone
てくる|to come to,to become,to continue
てみる|to try to
ても|even if,even though
てもらう|to get somebody to do something
ておく|to do something in advance
てしまう|to do something by accident,to finish completely
てすみません|I'm sorry for
てよかった|I'm glad that
と|if,when,and
と～と、どちらが|which one
ということ|changes a sentence or phrase into a noun
といってもいい|you could say,you might say
といわれている|it is said that
とか～とか|among other things,such as
とき|when,at the time
ときいた|I heard that
ところ|about to,on the verge of
とみえる|it seems that
とおもう|I think,you think
つづける|to continue
やすい|easy to,likely to
より|than
よていだ|plan to,intend to
ようだ|it seems that, it appears that, it looks like
ように|as,like,just like
ような|as,like,just like
ようになる|to reach the point that
ようにする|to try to,to make sure that
ようとおもう|I think I will
ぜんぜん|(not) at all
