会う|あう|meet,encounter|v5u,vi|to meet,to encounter
青い|あおい|blue|adj-i|blue,green
赤い|あかい|red|adj-i|red
明い|あかるい|bright|adj-i|bright,colorful,cheerful
秋|あき|autumn|n|autumn,fall
開く|あく|be open|v5k,vi|to open,to be empty,to be vacant
開ける|あける|open|v1,vt|to open,to unwrap
上げる|あげる|raise|v1,vt|to raise,to elevate
朝|あさ|morning|n-adv|morning
朝御飯|あさごはん|breakfast|n|breakfast
明後日|あさって|day after tomorrow|n-adv|day after tomorrow
足|あし|foot|n|foot,leg
明日|あした|tomorrow|n-adv|tomorrow
あそこ|あそこ|over there|pronoun|over there
遊ぶ|あそぶ|play|v5b|to play,to make a visit
暖かい|あたたかい|warm|adj-i|warm,mild
頭|あたま|head|n|head
新しい|あたらしい|new|adj-i|new
あちら|あちら|that way|pronoun|that way
厚い|あつい|thick|adj-i|thick
暑い|あつい|hot|adj-i|hot (weather)
熱い|あつい|hot|adj-i|hot (thing)
後|あと|behind|n|behind,after
あなた|あなた|you|pronoun|you (referring to somone of equal or lower status),dear
兄|あに|older brother|noun|older brother
姉|あね|older sister|noun|older sister
あの|あの|that|pronoun|that
アパート|アパート|apartment|n|apartment
浴びる|あびる|bathe|v1,vt|to bathe,to shower
危ない|あぶない|dangerous|adj-i|dangerous
甘い|あまい|sweet|adj-i|sweet,delicious
あまり|あまり|not very
飴|あめ|candy|n|hard candy,toffee
雨|あめ|rain|n|rain
洗う|あらう|wash|v5u,vt|to wash
ある|ある|exist|v5r-i,vi|to be (usually for inanimate objects),to exist
歩く|あるく|walk|v5k,vi|to walk
あれ|あれ|that|pronoun|that
良い|いい|good|adj-i|good
いいえ|いいえ|no|int|no
言う|いう|say|v5u,vi|to say,to call
家|いえ|house|n|house,family,residence
行く|いく|go|v1,vi|to go
いくつ|いくつ|how much|adv|how much,how many,how old
池|いけ|pond|n|pond
医者|いしゃ|doctor|n|doctor
椅子|いす|chair|n|chair
忙しい|いそがしい|busy|adj-i|busy,occupied
痛い|いたい|painful|adj-i|painful,sore
一|いち|one|n,num|one
一日|いちにち|one day|n|one day,the first of the month
一番|いちばん|best|n-adv|first,number one
いつ|いつ|when|adv-na,n|how soon
五日|いつか|five days|n|five days,fifth day
一緒|いっしょ|together|adv,n|together
五つ|いつつ|five things|n|five things
いつも|いつも|always|adv,n|always,usually,every time
犬|いぬ|dog|n|dog
今|いま|now|n-adv,n|now
意味|いみ|meaning|n|meaning
妹|いもうと|younger sister|n,hum|younger sister
嫌|いや|unpleasant|adj-na,n|unpleasant,disagreeable,detestable
入口|いりぐち|entrance|n|entrance
居る|いる|exist|v1,vi|to be (animate objects),to have
要る|いる|need|v5t,vi|to need
入れる|いれる|put in|v1,vt|to put in,to admit,to accept
色|いろ|color|n|color
いろいろ|いろいろ|various|n|various
上|うえ|above|n|above,up,over,top
後ろ|うしろ|behind|n|behind,back,rear
薄い|うすい|thin|adj-i|thin
歌|うた|song|n|song
歌う|うたう|sing|v5u,vt|to sing
生まれる|うまれる|be born|v1,vi|to be born
海|うみ|sea|n|sea,beach
売る|うる|sell|v5r,vt|to sell
煩い|うるさい|noisy|adj-i|noisy,loud
上着|うわぎ|jacket|n|jacket
絵|え|drawing|n|drawing,picture,painting
映画|えいが|movie|n|movie,film
映画館|えいがかん|movie theater|n|movie theater,cinema
英語|えいご|English|n|English language
ええ|ええ|huh|int|yes,huh
駅|えき|station|n|station
エレベーター|エレベーター|elevator|n|elevator,lift
鉛筆|えんぴつ|pencil|n|pencil
おいしい|おいしい|delicious|adj-i|delicious,tasty
多い|おおい|many|adj-i|many,numerous
大きい|おおきい|big|adj-i|big,large,great
大きな|おおきな|big|adj-na|big,large,great
大勢|おおぜい|crowd|n|crowd,many
お母さん|おかあさん|mother|n|mother
お菓子|おかし|sweets|n|sweet,confections,candy
お金|おかね|money|n|money
起きる|おきる|get up,happen|v1,vi|to get up,to rise,to occur,to happen
置く|おく|put|v5k,vt|to put,to place,to leave behind
奥さん|おくさん|wife|n,hon|wife
お酒|おさけ|alcohol|n|alcohol,sake
お皿|おさら|plate|n|plate,dish
お爺さん|おじいさん|grandfather|n,hon|grandfather
教える|おしえる|teach|v1,vt|to teach,to tell,to inform
伯父さん|おじさん|uncle|n,hon|uncle,old man
押す|おす|push|v5s|to push,to press
遅い|おそい|slow|adj-i|slow,late,too late
お茶|おちゃ|tea|n|tea
お手洗い|おてあらい|bathroom|n|bathroom
お父さん|おとうさん|father|n,hon|father
弟|おとうと|younger brother|n,hum|brother
男|おとこ|man|n|man
男の子|おとこのこ|boy|n|boy
一昨日|おととい|day before yesterday|n-adv|day before yesterday
一昨年|おととし|year before last|n-adv|day before last
大人|おとな|adult|n|adult
お腹|おなか|stomach|n|stomach
同じ|おなじ|same|adj-f|same,identical
お兄さん|おにいさん|older brother|n,hon|older brother
お姉さん|おねえさん|older sister|n,hon|older sister
お祖母さん|おばあさん|grandmother|n|grandmother
伯母さん|おばさん|aunt|n|aunt,old lady
お風呂|おふろ|bath|n|noun
お弁当|おべんとう|box lunch|n|noun
覚える|おぼえる|remember,memorize|v1,vt|to remember,to memorize
御巡りさん|おまわりさん|policeman|n|pliceman
重い|おもい|heavy|adj-i|heavy
面白い|おもしろい|interesting|adj-i|interesting,amusing
泳ぐ|およぐ|swim|v5g,vi|to swim
降りる|おりる|descend|v1,vi|to descend,to go down
終る|おわる|finish|v5r,vi|to finish,to end
音楽|おんがく|music|n|music
女|おんな|woman|n|woman
女の子|おんなのこ|girl|n|girl
外国|がいこく|foreign country|n|foreign country
外国人|がいこくじん|foreigner|n|foreigner
会社|かいしゃ|company|n|company
階段|かいだん|stairs|n|stairs
買い物|かいもの|shopping|n|shopping
買う|かう|buy|v5u,vt|to buy
返す|かえす|return|v5s,vt|to return,to put back
帰る|かえる|return|v5r,vi|to return,to come back,to go home
顔|かお|face|n|face
かかる|かかる|hang,take time,take money|v5r,vi|to take time,to take money,to hang
鍵|かぎ|key|n|key
書く|かく|write
学生|がくせい|student
掛ける|かける|make call
傘|かさ|umbrella
貸す|かす|lend
風|かぜ|wind
風邪|かぜ|cold
家族|かぞく|family
方|かた|way,person
学校|がっこう|school
カップ|カップ|cup
家庭|かてい|home
角|かど|corner
鞄|かばん|bag
花瓶|かびん|vase
被る|かぶる|wear
紙|かみ|paper
カメラ|カメラ|camera
火曜日|かようび|Tuesday
辛い|からい|spicy
体|からだ|body
借りる|かりる|borrow
軽い|かるい|light
カレンダー|カレンダー|calendar
カレー|カレー|curry
川|かわ|river
可愛い|かわいい|cute
漢字|かんじ|kanji
木|き|tree
黄色|きいろ|yellow
黄色い|きいろい|yellow
消える|きえる|disappear
聞く|きく|hear,ask
北|きた|north
汚い|きたない|dirty
ギター|ギター|guitar
喫茶店|きっさてん|coffee shop
切手|きって|stamp
切符|きっぷ|ticket
昨日|きのう|yesterday
九|きゅう|nine
牛肉|ぎゅうにく|beef
牛乳|ぎゅうにゅう|milk
今日|きょう|today
教室|きょうしつ|classroom
兄弟|きょうだい|siblings
去年|きょねん|last year
嫌い|きらい|hate
切る|きる|cut
着る|きる|wear
きれい|きれい|pretty
キロ|キロ|kilogram,kilometer
銀行|ぎんこう|bank||
金曜日|きんようび|Friday
薬|くすり|medicine
下さい|ください|please,give me
果物|くだもの|fruit
口|くち|mouth
靴|くつ|shoes
靴下|くつした|socks
国|くに|country
曇り|くもり|cloudy weather
曇る|くもる|become cloudy
暗い|くらい|dark
クラス|クラス|class
グラム|グラム|gram
来る|くる|come
車|くるま|car
黒|くろ|black
黒い|くろい|black
警官|けいかん|policeman
今朝|けさ|this morning
消す|けす|erase
結構|けっこう|splendid
結婚|けっこん|marriage
月曜日|げつようび|Monday
玄関|げんかん|entranceway
元気|げんき|health
五|ご|five
公園|こうえん|park
交差点|こうさてん|intersection
紅茶|こうちゃ|black tea
交番|こうばん|police box
声|こえ|voice
ここ|ここ|here
午後|ごご|afternoon
九日|ここのか|nine days
九つ|ここのつ|nine
ご主人|ごしゅじん|your husband
午前|ごぜん|morning
答える|こたえる|answer
こちら|こちら|this way
こっち|こっち|this way
コップ|コップ|cup
今年|ことし|this year
言葉|ことば|language
子供|こども|child
この|この|this
御飯|ごはん|cooked rice,meal
コピー|コピー|copy
困る|こまる|be worried
これ|これ|this
今月|こんげつ|this month
今週|こんしゅう|this week
こんな|こんな|such
今晩|こんばん|this evening
コート|コート|coat
コーヒー|コーヒー|coffee
さあ|さあ|well
財布|さいふ|wallet
魚|さかな|fish
先|さき|previous
咲く|さく|bloom
作文|さくぶん|writing
差す|さす|hold up
雑誌|ざっし|magazine
砂糖|さとう|sugar
寒い|さむい|cold
再来年|さらいねん|year after next
三|さん|three
散歩|さんぽする|stroll
四|し|four
塩|しお|salt
しかし|しかし|but
時間|じかん|time
仕事|しごと|job
辞書|じしょ|dictionary
静か|しずか|quiet
下|した|down
七|しち|seven
質問|しつもん|question
自転車|じてんしゃ|bicycle
自動車|じどうしゃ|car
死ぬ|しぬ|die
字引|じびき|dictionary
自分|じぶん|oneself
閉まる|しまる|be closed
締める|しめる|tie
閉める|しめる|close
じゃ|じゃ|well then
写真|しゃしん|photograph
シャツ|シャツ|shirt
シャワー|シャワー|shower
十|じゅう|ten
授業|じゅぎょう|lesson
宿題|しゅくだい|homework
